id,code,name,name_ar
111,111,"Cultivation of grains and crops (except for rice), legumes and oilseeds",زراعة الحبوب والمحاصيل ( فيما عدا الارز ) والبقوليات والحبوب الزيتية
112,112,Cultivation of rice,زراعة الارز
113,113,"Growing vegetables, melons, roots and tubers",زراعة الخضر ؤالبطيخ والجذور والدرنات
114,114,Cultivation of sugar cane,زراعة قصب السكر
115,115,Tobacco cultivation,زراعة التبغ
116,116,Growing fiber crops,زراعة المحاصيل ذات الالياف
119,119,Cultivation of other non-perennial crops,زراعة المحاصيل غير المعمرة الاخرى
121,121,the cultivation of grapevines.,زراعة الكروم
122,122,Growing tropical and subtropical fruits,زراعة الفواكه الاستوائية وشبه الاستوائية
123,123,Cultivation of citrus fruits,زراعة الموالح
124,124,Cultivation of fruit with Date kernel and from palm trees,زراعة الفواكة ذات النواة والناتجة عن انواع النخيل
125,125,Plant fruit trees and shrubs and other nuts,زراعة أشجار وشجيرات الفواكهة والمكسرات الاخرى
126,126,Growing oil fruits,زراعة الفواكهة الزيتية
127,127,Cultivation of the crops from which drinks are extracted,زراعة المحاصيل التى تستخرج منها المشروبات
128,128,"Cultivation of spice crops, aromatics, medicine and pharmaceutical drugs",زراعة محاصيل التوابل والعطريات والادوية والعقاقير الصيدلانية
129,129,Cultivation of other perennial crops,زراعة المحاصيل المعمرة الاخرى
130,130,Crop breeding,تكاثر المحاصيل
141,141,Breeding of cattle and buffalo,تربية الماشية والجواميس
142,142,Breeding of horses and mare,تربية الخيول و الفرس
143,143,Breeding of camels,تربية الجمال والهجن
144,144,Breeding sheep and goats,تربية الخراف والماعز
145,145,Breeding of Pig,تربية الحنازير
146,146,Poultry farming,تربية الدواجن
149,149,Breeding other animals,تربية الحيوانات الاخرى
150,150,Mixed education,التربية المختلطة
161,161,Support activities for crop production,الانشطة الداعمة لانتاج المحاصيل
162,162,Activities in support of animal production,الانشطة الداعمة لانتاج الحيوانات
163,163,Post-harvest activities,الانشطة اللاحقة لحصاد المحاصيل
164,164,Preparing grains for reproduction,تجهيز الحبوب للتكاثر
170,170,"Hunting, erection, and related service activities",الصيد ونصب الاشراك وانشطة الخدمات ذات الصلة
210,210,Forest care and forest-related activities,رعاية الغابات والانشطة المتصلة بالغابات
220,220,Wood cutting,قطع الاخشاب
230,230,Assembling non-wood forest products,تجميع المنتجات غير الخشبية بالغابات
240,240,Forest support services,الخدمات الداعمة للغابات
311,311,Fishing,الصيد البحرى
312,312,River fishing,الصيد النهرى
321,321,Marine farms,المزارع البحرية
322,322,River farms,المزارع النهرية
411,411,Earn a job,كسب عمل
412,412,Income from government agencies salaries,ايرادات من مرتبات جهات حكوميه
413,413,Income and salaries from the public business sector,إيرادات ومرتبات من قطاع الاعمال العام
414,414,Income and salaries from the private sector,ايرادات ومرتبات من قطاع خاص
415,415,Income and salary from non-subject entities,ايرادات ومرتبات من جهات غير خاضعه
416,416,Inspection and sting,تفتيش ودمغة
441,441,Income of agricultural lands,ايرادالاراضي الزراعيه
442,442,Revenue from constructed real estate,ايراد العقارات المبنيه
444,444,Income of real estate activities,ايراد الانشطه العقاريه
451,451,Errand stamp,دمغة مأمورية
461,461,Revenue from non-funders,ايرادات غير الممولين
462,462,Revenue of transferred capital,إيراد رؤوس الأموال المنقولة
463,463,Income earned from abroad,ايرادات محصله من الخارج
464,464,Other categories / miscellaneous other income,فئات اخري/ ايرادات اخري متنوعه
471,471,Free market revenue,ايرادات أسواق حرة
472,472,Free Zones revenue,ايرادات مناطق حره
510,510,Hard coal mining,تعدين الفحم الصلب
520,520,Lignite mining,تعدين الليجنيت
610,610,Extract the crude oil,استخرج البترول الخام
620,620,Extract natural gas,استخرج االغاز الطبيعى
710,710,Iron ore mining,تعدين الحديد الخام
721,721,Uranium and raw thorium mining,تعدين اليورانيوم والثوريوم الخام
729,729,Mining other non-ferrous metals,تعدين المعادن الخام الاخرى غير الحديدية
810,810,"Quarrying to extract stones, sand and shale",استغلال المحاجر لاستخراج الاحجار والرمال والطفل
891,891,Chemical minerals and fertilizer extraction,استخراج المعادن الكيميائية والاسمدة
892,892,Peat extraction,استخراج الخث
893,893,Salt extraction,استخراج الملح
899,899,Other mining and quarrying activities are not elsewhere classified,الانشطة الاخرى للتعدين واستغلال المحاجر غير مصنفة فى موضع اخر
910,910,Service activities in support of oil and natural gas extraction,انشطة الخدمات الداعمة لاعمال استخراج البترول والغاز الطبيعى
990,990,Service activities in support of other mining and quarrying activities,انشطة الخدمات الداعمة للاعمال الاخرى للتعدين واستغلال المحاجر
1010,1010,Meat processing and preservation,تصنيع وحفظ اللحوم
1020,1020,"Manufacture and preservation of fish, crustaceans and mollusks",تصنيع وحفظ الاسماك والقشريات والرخويات
1030,1030,Manufacturing and preserving fruits and vegetables,تصنيع وحفظ الفواكهة و الخضراوات
1040,1040,Manufacture of vegetable and animal oils and fats,تصنيع الزيوت و الدهون الحيوانية والنباتية
1050,1050,Dairy products manufacturing,تصنيع منتجات الالبان
1061,1061,Manufacture of grain mill products,تصنيع منتجات طواحين الحبوب
1062,1062,Manufacture of starch and starch products,تصنيع منتجات النشاء ومنتجات النشاء
1071,1071,Manufacturing bakery products,تصنيع منتجات المخابز
1072,1072,Sugar industry,صناعة السكر
1073,1073,"Manufacture of cocoa, chocolate and sugar confectionery",تصنيع الكاكاو والشيكولاتة والحلويات السكرية
1074,1074,"Manufacturing pasta, strips, couscous and similar starchy products",تصنيع المعكرونة وشرائطها والكسكسى والمنتجات النشوية المماثلة
1075,1075,Meals and ready-made food industry,صناعة الوجبات و الاغذية الجاهزة
1079,1079,Manufacture of other products not classified elsewhere,صناعة المنتجات الاخرى غير مصنفة فى موضع اخر
1080,1080,Prepared animal food industry,صناعة الاغذية الحيوانية المجهزة
1101,1101,"Spirits distilled, refined and mixed",تقطير المشروبات الروحية وتكريرها وخلطها
1102,1102,Winemaking,صناعة النبيذ
1103,1103,The manufacture of alcoholic drinks derived from the molten and the manufacture of molten,صناعة المشروبات الكحولية المشتقة من المولت وصنع المولت
1104,1104,Manufacturing soft drinks and producing mineral water,صناعة المشروبات المرطبة وانتاج المياة المعدنية
1200,1200,Manufacture of tobacco products,صناعة منتجات التبغ
1311,1311,Processing and spinning of textile fibers,تجهيز وغزل الياف المنسوجات
1312,1312,Textile weave,نسج المنسوجات
1313,1313,The textile industry,صناعة المنسوجات
1391,1391,Manufacture of knitted and crocheted fabrics,صناعة الاقمشة التريكو والكروشية
1392,1392,"Manufacture of ready-made textile accessories, except garment wear",صناعة مستلزمات المنسوجات الجاهزة باستثناء ملابس الزينة
1393,1393,Carpet and blanket industry,صناعة السجاد والبطاطين
1394,1394,"Manufacture of ropes, thick and double ropes and nets",صناعة الحبال والحبال الغليظة والمذدوجة والشباك
1399,1399,Other textile industry not elsewhere classified,صناعة المنسوجات الاخرى غير مصنفة فى موضع اخر
1410,1410,Manufacture of garment with the exception of fur,صناعة الملابس ذات الزينة باستثناء الفراء
1420,1420,Fur accessories industry,صناعة مستلزمات الفراء
1430,1430,"The manufacture of clothing, knitted and crocheted",صناعة ملابس الزينة بالتريكو والكروشية
1511,1511,"Tanning and processing of leather, fillings and dyeing of fur",دبغ وتجهيز الجلود والحشوات وصباغة الفراء
1512,1512,"Luggage, handbags and similar industries, along with saddles and horse sets",صناعة حفائب الامتعة وحقائب اليد وما شابهة ذلك الى جانب السروج واطقم الجياد
1520,1520,Shoe manufacturing,صناعة الاحذية
1610,1610,Sawing wood and abrasion,نشر الخشب وسحجة
1621,1621,Sheets made of wood veneer and wood-based panels,الصفائح من قشرة الخشب والالواح ذات الاساس الخشبى
1622,1622,Manufacture of carpentry accessories intended for buildings and installations,صناعة مستلزمات النجارة المعدة للابنية والمنشات
1623,1623,Wooden boxes industry,صناعة الصناديق الخشبية
1629,1629,"Manufacture of wood, wood products and cork, except furniture, and manufacture of articles produced from straw and sheets",صناعة الاخشاب والمنتجات الخشبية والفلين باستثناء الاثاث وصناعة الاصناف المنتجة من القش والصفائح
1701,1701,Paper and carvatard pulp industry,صناعة عجائن الورق و الورق المقوى ( الكارتون )
1702,1702,Manufacture of corrugated paper and paperboard and boxes made of paper and paperboard,صناعة الورق والورق المقوى المموج والصناديق المصنوعة من الورق والورق المقوى
1709,1709,Manufacture of other articles of paper and paperboard,صناعة اصناف اخرى من الورق والورق المقوى
1811,1811,printing,الطباعة
1812,1812,Printing service activities,انشطة الخدمات المرتبطة بالطباعة
1820,1820,Clone recorded media,استنساخ وسائل الاعلام المسجلة
1910,1910,Coke oven products industry,صناعة منتجات افران الكوك
1920,1920,Refined petroleum products,المنتجات النفطية المكررة
2011,2011,Basic chemicals,المواد الكيميائية الاساسية
2012,2012,Manufacture of fertilizers and nitrogen compounds,صناعة الاسمدة والمركبات الازوتية
2013,2013,Plastics industry in its primary forms and synthetic rubber,صناعة اللادائن فى اشكالها الاولية والمطاط الصناعى
2021,2021,Pesticide industry and other agricultural chemical products,صناعة مبيدات الافات والمنتجات الكيميائية الزراعية الاخرى
2022,2022,"Manufacture of paints, varnishes, and similar coatings, printing inks and molds",صناعة الدهانات والورنيش والطلاء المماثلة واحبار الطباعة والمصطكات
2023,2023,"Manufacture of soap, disinfectants, cleaning and polishing preparations, perfumes and cosmetics",صناعة الصابون والمطهرات ومستحضرات التنظيف والتلميع والعطور ومستحضرات التجميل
2029,2029,Manufacture of other chemical products not classified elsewhere,صناعة المنتجات الكيميائية الاخرى غير المصنفة فى موضع اخر
2030,2030,Industrial fiber industry,صناعة الالياف الصناعية
2100,2100,"Manufacture of pharmaceutical, chemical, and plant products",صناعة المستحضرات الصيدلانية والكيميائية الدواءية والمنتجات النباتية
2211,2211,"Manufacture of rubber tires and tubes, renewing and rebuilding the outer surfaces of rubber tires",صناعة الاطارات والانابيب المطاطية وتجديد الاسطح الخارجية للاطارات المطاطية واعادة بنائها
2219,2219,Manufacture of other rubber products,صناعة المنتجات المطاطية الاخرى
2220,2220,Plastics industry,صناعة منتجات اللادائن
2310,2310,Glass and its products industry,صناعة الزجاج ومنتجاتة
2391,2391,Manufacture of fusion products,صناعة المنتجات المقاومة للانصهار
2392,2392,Manufacture of Shale products for Building,صناعة مواد الطفلة الخاصة بالبناء
2393,2393,Manufacture of other Porcelain and ceramic products,صناعة منتجات البرسولين والسيراميك الاخرى
2394,2394,"Cement, lime and plaster industry",صناعة الاسمنت والجير والجص
2395,2395,"Manufacture of concrete products, cement and plaster",صناعة منتجات الخرسانة والاسمنت والجص
2396,2396,"Cutting, forming and completing the stone processing",قطع وتشكيل واتمام تجهيز الاحجار
2399,2399,Manufacture of non-metallic minerals products not classified elsewhere,صناعة منتجات المعادن الافلزية الاخرى غير المصنفة فى مواضع اخرى
2410,2410,The industry of basic iron and steel,صناعة الحديد والصلب القاعديين
2420,2420,Manufacture of precious and non-ferrous basic metals,صناعة الفلزات الثمينة وغير الحديدية القاعدية
2431,2431,Iron and steel casting,سبك الحديدوالصلب
2432,2432,Non-ferrous metal casting,سبك المعادن غير الحديدية
2511,2511,Structural metal products industry,صناعة المنتجات المعدنية الانشائية
2512,2512,Industry of tanks and metal containers,صناعة الصهاريج والخزانات و الحاويات المعدنية
2513,2513,Water vapor generators except for central heating boilers in hot water,مولدات بخار الماء باستثناء مراجل التدفئةالمركزية بالمياة الساخنة
2520,2520,Arms and ammunition industry,صناعة الاسلحة والذخائر
2591,2591,"Forming metals by hammering, pressing, casting, rolling, and treatment of metal powders",تشكيل المعادن بالطرق والكبس و السبك والدلفنة ومعالجة مساحيق المعادن
2592,2592,Metal processing and coating,معالجة وطلى المعادن
2593,2593,"Manufacture of cutting tools, hand tools and general metal tools",صناعة ادوات القطع والعدد اليدوية والادوات المعدنية العامة
2599,2599,Manufacture of other fabricated metal products not classified elsewhere,صناعة منتجات المعادن المشكلة الاخرى غير المصنفة فى مواضع اخرى
2610,2610,Electronic components and panels industry,صناعة المكونات والالواح الاليكترونية
2620,2620,The manufacture of electronic computers and related devices,صناعة الحاسبات الاليكترونية و الاجهزة المتصلة بة
2630,2630,Communications equipment industry,صناعة اجهزة الاتصالات
2640,2640,Electronic devices industry,صناعة الاجهزة الاليكترونية
2651,2651,"Manufacturing measuring, testing, navigation and control devices",صناعة اجهزة القياس والاختبار و الملاحة والتحكم
2652,2652,Watch and alarm clock industry,صناعة الساعات والمنبهات
2660,2660,"Radiation, medical and therapeutic electronic devices industry",صناعة الاجهزة الاشعاعية والطبية والعلاجية اللاليكترونية
2670,2670,Optical equipment and imaging equipment industry,صناعة المعدات البصرية واجهزة التصوير
2680,2680,Optical and magnetic conveyor industry,صناعة الوسائل الناقلة البصرية والمغنطيسية
2710,2710,"Manufacture of motors, generators, electrical transformers, devices and control panels for electricity distribution",صناعة المحركات والمولدات والمحولات الكهربائية واجهزة ولوحات التحكم فى توزيع الكهرباء
2720,2720,Manufacture of dry and stored batteries,صناعة البطاريات الجافة والمختزنة
2731,2731,Industrial fiber cable industry,صناعة كابلات الالياف الصناعية
2732,2732,Other electrical and electronic wires and cables,صناعة الاسلاك الكهربائية والاليكترونية الاخرى والكابلات
2733,2733,Wire devices industry,صناعة اجهزة الاسلاك
2740,2740,Electrical lighting devices industry,صناعة اجهزة الانارة الكهربائية
2750,2750,Home appliances industry,صناعة الاجهزة المنزلية
2790,2790,Other electrical appliances industry,صناعة الاجهزة الكهربائية الاخرى
2811,2811,"Manufacture of generators and engines, with the exception of aircraft, vehicles and motorcycles",صناعة المولدات والمحركات باسقثناء الطائرات والمركبات ومحركات الموتيسيكلات
2812,2812,Liquid power devices industry,صناعة اجهزة الطاقة السائلة
2813,2813,"Manufacture of pumps, compressors, tapes and other valves",صناعة المضخات والضواغط والاشرطة والصمامات الاخرى
2814,2814,"Gears, carriers and driving devices industry",صناعة التروس والحاملات واجهزة القيادة
2815,2815,"Manufacture of furnaces, furnaces and their incinerators",صناعة الافران و الاتونات ومحرقاتها
2816,2816,The elevators and equipment needed for it,صناعة المصاعد والمعدات الازمة لها
2817,2817,Manufacture of office equipment and equipment (excluding electronic computers and their accessories),صناعة الاجهزة والمعدات المكتبية ( باستثناء الحاسبات الاليكترونية ومستلزماتها )
2818,2818,Manufacture of manual power steering equipment,صناعة المعدات اليدوية لتوجية الطاقة
2819,2819,Other equipment industry of various purposes,صناعة المعدات الاخرى ذات الاغراض المتنوعة
2821,2821,Agricultural and forestry equipment industry,صناعة المعدات الزراعية والخاصة بالغابات
2822,2822,Manufacture of equipment and machinery for forming metals,صناعة معدات واجهزة تشكيل المعادن
2823,2823,Metal equipment industry,صناعة معدات المعادن
2824,2824,Mining and quarrying and building equipment industry,صناعة معدات المناجم و المحاجر والبناء
2825,2825,"Manufacture of food, beverage and tobacco industries equipment",صناعة معدات الصناعات الغذائية والمشرؤبات والتبغ
2826,2826,"Manufacture of ready-made clothes, accessories, and leather production",صناعة معدات الملابس الجاهزة وهدوات الزينة وانتاج الجلود
2829,2829,Manufacture of other special-purpose equipment,صناعة المعدات الاخرى ذات الاغراض الخاصة
2910,2910,Manufacture of motor vehicles,صناعة المركبات ذات المحركات
2920,2920,Manufacture of motor vehicle bodies and the manufacture of trailers and semi-trailers,صناعة هياكل المركبات ذات المحركات وصناعة المقطورات ونصف المقطورات
2930,2930,Manufacture of accessories and spare parts for motor vehicles,صناعة مستلزمات وقطع غيار المركبات ذات المحركات
3011,3011,Building ship hulls and rafts,بناء هياكل السفن و الطوافات
3012,3012,Manufacture of pleasure boats and sport boats,صناعة قوارب النزهة والقوارب الرياضية
3020,3020,Railroad locomotives and rolling stock industry,صناعة قاطرات السكك الحديدية والمعدات الدارجة على السكك الحديدية
3030,3030,Air and spacecraft industry,صناعة المركبات الهوائية والفضائية
3040,3040,Manufacture of military military vehicles,صناعة المركبات العسكرية الحربية
3091,3091,Industry,صناعة
3092,3092,Manufacture of ordinary bicycles and infirm vehicles,صناعة الدراجات العادية ومركبات العجزة
3099,3099,Other transportation equipment industry not classified elsewhere,صناعة معدات النقل الاخرى غير المصنفة فى مواضع اخرى
3100,3100,Furniture Industry,صناعة الاثاث
3211,3211,Manufacture of jewelry and related items,صناعة المجوهرات والاصناف المتصلة بها
3212,3212,Manufacture of imitation jewelry and related items,صناعة المجوهرات المقلدة والاصناف المتصلة بها
3220,3220,Musical instrument industry,صناعة الالات الموسيقية
3230,3230,Sports products industry,صناعة المنتجات الرياضية
3240,3240,Make games and play,صناعة الالعاب واللعب
3250,3250,Manufacturing of dental and medical equipment and tools,صناعة المعدات والادوات الطبية والخاصة بالاسنان
3290,3290,Other industries not classified elsewhere,الصناعات الاخرى غير المصنفة فى مواضع اخرى
3311,3311,Repair of manufactured metal products,اصلاح المنتجات المعدنية المصنعة
3312,3312,Machinery repair,اصلاح الالات
3313,3313,Repair of electronic and optical devices,اصلاح الاجهزة الاليكترونية و البصرية
3314,3314,Electronic devices repair,اصلاح الاجهزة الاليكترونية
3315,3315,"Repair of transport devices, except for motor vehicles",اصلاح اجهزة النقل باستثناء المركبات ذات المحركات
3319,3319,Repair other devices,اصلاح الاجهزة الاخرى
3320,3320,Installation of industrial equipment and devices,تركيب المعدات و الاجهزة الصناعية
3510,3510,"Electric generators, transformers and power distributors",المولدات الكهربائية ومحولات وموزعات الكهرباء
3520,3520,Manufacture of sulfur gas and distribution of gaseous fuels by means of main pipes,صناعة غاز الاستصباح وتوزيع انواع الوقود الغازية عن طريق مواسير رئيسية
3530,3530,Steam supply and air conditioning,توريد البخار واجهزة تكييف الهواء
3600,3600,"Water collection, treatment and supply",تجميع ومعالجة وتوريد المياة
3700,3700,Sewer,المجارى
3811,3811,Collection of non-hazardous waste,تجميع المخلفات غير الخطرة
3812,3812,Collection of hazardous waste,تجميع المخلفات الخطرة
3821,3821,Treatment and disposal of non-hazardous waste,معالجة والتصرف فى المخلفات غير الخطرة
3822,3822,Treatment and disposal of hazardous waste,معالجة والتصرف فى المخلفات الخطرة
3830,3830,Material handling,معالجة المواد
3900,3900,Recycling activities and services and the disposal of other waste,انشطة وخدمات اعادة التدوير والتصرف فى النفايات الاخرى
4100,4100,Building constructions,انشاءات المبانى
4210,4210,Road and railway constructions,الانشاءات الخاصة بالطرق والسكك الحديدية
4220,4220,Construction for projects of public benefit,الانشاءات الخاصة بالمشاريع ذات المنفعة العامة
4290,4290,Construction for other civil engineering projects,الانشاءات الخاصة بالمشاريع الهندسية المدنية الاخرى
4311,4311,Remove the installations,ازالة المنشات
4312,4312,Preparing sites,اعداد المواقع
4321,4321,Electrical installations,التركيبات الكهربائية
4322,4322,"Plumbing, heating and air-conditioning installations",التركيبات الخاصة بالسباكة والتدفئة ومكيفات الهواء
4329,4329,Other structural installations,التركيبات الانشائية الاخرى
4330,4330,Completion and finishing of buildings,استكمال وتشطيب المبانى
4390,4390,Other specialized construction activities,انشطة الانشاءات المتخصصة الاخرى
4510,4510,Sale of motor vehicles,بيع المركبات ذات المحركات
4520,4520,Maintenance and repair of motor vehicles,صيانة واصلاح المركبات ذات المحركات
4530,4530,Sale of motor vehicle parts and accessories,بيع قطع غيار ومستلزمات المركبات ذات المحركات
4540,4540,"Sale, maintenance and repair of motorcycles, parts and accessories thereof",بيع وصيانة واصلاح الدراجات النارية وقطع الغيار والمستلزمات الخاصة بها
4610,4610,Wholesale trade on the basis of a contract or a fee,تجارة الجملة على اساس عقد او نظير رسم
